abilities,artist,ancientTrait,attacks,cardmarket,convertedRetreatCost,evolvesFrom,flavorText,hp,id,images,legalities,regulationMark,name,nationalPokedexNumbers,number,rarity,resistances,retreatCost,rules,set,subtypes,supertype,tcgplayer,types,weaknesses
,Eri Yamaki,,"[Attack(name='Double Stab', cost=['Colorless'], convertedEnergyCost=1, damage='10×', text='Flip 2 coins. This attack does 10 damage times the number of heads.'), Attack(name='Doduo Delivery', cost=['Colorless', 'Colorless'], convertedEnergyCost=2, damage='', text='Draw 2 cards.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-55', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.1, lowPrice=0.02, trendPrice=0.08, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.63, reverseHoloLow=0.2, reverseHoloTrend=0.59, lowPriceExPlus=0.02, avg1=0.12, avg7=0.1, avg30=0.1, reverseHoloAvg1=1.0, reverseHoloAvg7=0.62, reverseHoloAvg30=0.59))",1,,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,60,g1-55,"CardImage(small='https://images.pokemontcg.io/g1/55.png', large='https://images.pokemontcg.io/g1/55_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Doduo,[84],55,Common,"[Resistance(type='Fighting', value='-20')]",['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-55', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.09, mid=0.24, high=1.22, market=0.16, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.15, mid=0.44, high=9.99, market=0.55, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Colorless'],"[Weakness(type='Lightning', value='×2')]"
,Kagemaru Himeno,,"[Attack(name='Take Down', cost=['Colorless'], convertedEnergyCost=1, damage='30', text='This Pokémon does 10 damage to itself.'), Attack(name='Seething Anger', cost=['Colorless', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='30×', text='Flip a coin for each damage counter on this Pokémon. This attack does 30 damage times the number of heads.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-57', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.25, lowPrice=0.05, trendPrice=0.28, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.71, reverseHoloLow=0.1, reverseHoloTrend=0.78, lowPriceExPlus=0.05, avg1=0.08, avg7=0.23, avg30=0.34, reverseHoloAvg1=0.54, reverseHoloAvg7=0.81, reverseHoloAvg30=0.89))",2,,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed.",110,g1-57,"CardImage(small='https://images.pokemontcg.io/g1/57.png', large='https://images.pokemontcg.io/g1/57_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Tauros,[128],57,Rare,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-57', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.36, high=1.99, market=0.38, directLow=0.25), holofoil=None, reverseHolofoil=TCGPrice(low=0.24, mid=0.59, high=9.99, market=0.64, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Colorless'],"[Weakness(type='Fighting', value='×2')]"
,Ken Sugimori,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-59', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.16, lowPrice=0.03, trendPrice=0.12, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.69, reverseHoloLow=0.1, reverseHoloTrend=0.58, lowPriceExPlus=0.03, avg1=0.15, avg7=0.14, avg30=0.16, reverseHoloAvg1=0.8, reverseHoloAvg7=0.6, reverseHoloAvg30=0.63))",,,,,g1-59,"CardImage(small='https://images.pokemontcg.io/g1/59.png', large='https://images.pokemontcg.io/g1/59_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Clemont,,59,Uncommon,,,"['Search your deck for up to 4 Lightning Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-59', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.26, high=2.71, market=0.24, directLow=0.24), holofoil=None, reverseHolofoil=TCGPrice(low=0.16, mid=0.49, high=9.99, market=0.51, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-60', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.17, lowPrice=0.05, trendPrice=0.21, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.35, reverseHoloLow=0.1, reverseHoloTrend=0.98, lowPriceExPlus=0.05, avg1=0.04, avg7=0.18, avg30=0.36, reverseHoloAvg1=0.7, reverseHoloAvg7=1.03, reverseHoloAvg30=0.94))",,,,,g1-60,"CardImage(small='https://images.pokemontcg.io/g1/60.png', large='https://images.pokemontcg.io/g1/60_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard='Legal')",,Crushing Hammer,,60,Uncommon,,,"[""Flip a coin. If heads, discard an Energy attached to 1 of your opponent's Pokémon."", 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-60', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.12, mid=0.29, high=1.99, market=0.31, directLow=0.19), holofoil=None, reverseHolofoil=TCGPrice(low=0.2, mid=0.79, high=2.99, market=0.79, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-61', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.11, lowPrice=0.02, trendPrice=0.12, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.43, reverseHoloLow=0.15, reverseHoloTrend=0.47, lowPriceExPlus=0.02, avg1=0.02, avg7=0.11, avg30=0.12, reverseHoloAvg1=0.04, reverseHoloAvg7=0.49, reverseHoloAvg30=0.8))",,,,,g1-61,"CardImage(small='https://images.pokemontcg.io/g1/61.png', large='https://images.pokemontcg.io/g1/61_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard='Legal')",,Energy Switch,,61,Uncommon,,,"['Move a basic Energy from 1 of your Pokémon to another of your Pokémon.', 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-61', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.25, high=1.21, market=0.24, directLow=0.25), holofoil=None, reverseHolofoil=TCGPrice(low=0.13, mid=0.5, high=1.99, market=0.5, directLow=0.47), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-62', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.8, lowPrice=0.02, trendPrice=0.65, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.67, reverseHoloLow=0.5, reverseHoloTrend=2.1, lowPriceExPlus=0.02, avg1=0.02, avg7=0.65, avg30=0.82, reverseHoloAvg1=2.4, reverseHoloAvg7=1.89, reverseHoloAvg30=2.05))",,,,,g1-62,"CardImage(small='https://images.pokemontcg.io/g1/62.png', large='https://images.pokemontcg.io/g1/62_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Evosoda,,62,Uncommon,,,"[""Search your deck for a card that evolves from 1 of your Pokémon and put it onto that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward. You can't use this card during your first turn or on a Pokémon that was put into play this turn."", 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-62', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.15, mid=0.75, high=89.0, market=0.66, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.51, mid=2.86, high=7.2, market=2.71, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-63', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.4, lowPrice=0.09, trendPrice=0.35, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.79, reverseHoloLow=0.2, reverseHoloTrend=1.68, lowPriceExPlus=0.09, avg1=0.25, avg7=0.42, avg30=0.33, reverseHoloAvg1=5.0, reverseHoloAvg7=1.65, reverseHoloAvg30=1.24))",,,,,g1-63,"CardImage(small='https://images.pokemontcg.io/g1/63.png', large='https://images.pokemontcg.io/g1/63_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Imakuni?,,63,Uncommon,,,"['Your Active Pokémon is now Confused.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-63', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.3, mid=0.68, high=1.99, market=0.75, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.55, mid=1.79, high=5.88, market=1.79, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Toyste Beach,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-64', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.2, lowPrice=0.02, trendPrice=0.21, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.64, reverseHoloLow=0.1, reverseHoloTrend=0.67, lowPriceExPlus=0.02, avg1=0.2, avg7=0.22, avg30=0.15, reverseHoloAvg1=0.5, reverseHoloAvg7=0.76, reverseHoloAvg30=0.63))",,,,,g1-64,"CardImage(small='https://images.pokemontcg.io/g1/64.png', large='https://images.pokemontcg.io/g1/64_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Maintenance,,64,Uncommon,,,"[""Shuffle 2 cards from your hand into your deck. (If you can't shuffle 2 cards into your deck, you can't play this card.) Then, draw a card."", 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-64', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.08, mid=0.22, high=1.24, market=0.17, directLow=0.18), holofoil=None, reverseHolofoil=TCGPrice(low=0.1, mid=0.37, high=5.0, market=0.31, directLow=0.26), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-65', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.14, lowPrice=0.02, trendPrice=0.14, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.2, reverseHoloLow=0.09, reverseHoloTrend=0.73, lowPriceExPlus=0.02, avg1=0.02, avg7=0.18, avg30=0.17, reverseHoloAvg1=0.5, reverseHoloAvg7=0.86, reverseHoloAvg30=0.56))",,,,,g1-65,"CardImage(small='https://images.pokemontcg.io/g1/65.png', large='https://images.pokemontcg.io/g1/65_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Max Revive,,65,Uncommon,,,"['Put a Pokémon from your discard pile on top of your deck.', 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-65', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.09, mid=0.25, high=7.67, market=0.2, directLow=0.2), holofoil=None, reverseHolofoil=TCGPrice(low=0.2, mid=0.42, high=4.12, market=0.39, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Ken Sugimori,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-66', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.22, lowPrice=0.02, trendPrice=0.22, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.83, reverseHoloLow=0.15, reverseHoloTrend=0.78, lowPriceExPlus=0.05, avg1=0.02, avg7=0.21, avg30=0.22, reverseHoloAvg1=0.6, reverseHoloAvg7=0.66, reverseHoloAvg30=0.69))",,,,,g1-66,"CardImage(small='https://images.pokemontcg.io/g1/66.png', large='https://images.pokemontcg.io/g1/66_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Olympia,,66,Uncommon,,,"['Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, heal 30 damage from the Pokémon you moved to your Bench.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-66', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.25, high=1.0, market=0.22, directLow=0.2), holofoil=None, reverseHolofoil=TCGPrice(low=0.18, mid=0.57, high=3.94, market=0.59, directLow=0.33), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Maiko Fujiwara,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-68', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.14, lowPrice=0.02, trendPrice=0.15, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.9, reverseHoloLow=0.1, reverseHoloTrend=0.83, lowPriceExPlus=0.02, avg1=0.08, avg7=0.15, avg30=0.15, reverseHoloAvg1=0.19, reverseHoloAvg7=0.82, reverseHoloAvg30=0.73))",,,,,g1-68,"CardImage(small='https://images.pokemontcg.io/g1/68.png', large='https://images.pokemontcg.io/g1/68_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Pokémon Center Lady,,68,Uncommon,,,"['Heal 60 damage and remove all Special Conditions from 1 of your Pokémon.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-68', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.05, mid=0.21, high=1.99, market=0.2, directLow=0.27), holofoil=None, reverseHolofoil=TCGPrice(low=0.13, mid=0.72, high=3.49, market=0.76, directLow=0.63), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-67', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.1, lowPrice=0.02, trendPrice=0.13, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.59, reverseHoloLow=0.05, reverseHoloTrend=0.53, lowPriceExPlus=0.02, avg1=0.02, avg7=0.1, avg30=0.13, reverseHoloAvg1=0.5, reverseHoloAvg7=0.54, reverseHoloAvg30=0.63))",,,,,g1-67,"CardImage(small='https://images.pokemontcg.io/g1/67.png', large='https://images.pokemontcg.io/g1/67_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard='Legal')",,Poké Ball,,67,Uncommon,,,"['Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.', 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-67', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.01, mid=0.2, high=1.0, market=0.15, directLow=0.01), holofoil=None, reverseHolofoil=TCGPrice(low=0.19, mid=0.36, high=2.0, market=0.35, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Yusuke Ohmura,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-69', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.25, lowPrice=0.02, trendPrice=0.2, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.89, reverseHoloLow=0.18, reverseHoloTrend=0.61, lowPriceExPlus=0.02, avg1=0.02, avg7=0.16, avg30=0.17, reverseHoloAvg1=0.58, reverseHoloAvg7=0.81, reverseHoloAvg30=0.59))",,,,,g1-69,"CardImage(small='https://images.pokemontcg.io/g1/69.png', large='https://images.pokemontcg.io/g1/69_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Pokémon Fan Club,,69,Uncommon,,,"['Search your deck for up to 2 Basic Pokémon, reveal them, and put them into your hand. Shuffle your deck afterward.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-69', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.01, mid=0.23, high=2.12, market=0.15, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.1, mid=0.5, high=2.0, market=0.56, directLow=0.3), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Toyste Beach,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-70', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.63, lowPrice=0.49, trendPrice=0.54, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=0.0, lowPriceExPlus=0.49, avg1=0.49, avg7=0.55, avg30=0.37, reverseHoloAvg1=0.0, reverseHoloAvg7=0.0, reverseHoloAvg30=0.0))",,,,,g1-70,"CardImage(small='https://images.pokemontcg.io/g1/70.png', large='https://images.pokemontcg.io/g1/70_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Revitalizer,,70,Uncommon,,,"['Put 2 Grass Pokémon from your discard pile into your hand.', 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-70', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.65, mid=1.0, high=2.99, market=1.2, directLow=2.99), holofoil=None, reverseHolofoil=TCGPrice(low=0.5, mid=1.0, high=2.94, market=1.07, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Ken Sugimori,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-72', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.15, lowPrice=0.02, trendPrice=0.19, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.48, reverseHoloLow=0.03, reverseHoloTrend=0.64, lowPriceExPlus=0.02, avg1=0.15, avg7=0.19, avg30=0.15, reverseHoloAvg1=1.0, reverseHoloAvg7=0.67, reverseHoloAvg30=0.54))",,,,,g1-72,"CardImage(small='https://images.pokemontcg.io/g1/72.png', large='https://images.pokemontcg.io/g1/72_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard='Legal')",,Shauna,,72,Uncommon,,,"['Shuffle your hand into your deck. Then, draw 5 cards.', 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-72', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.05, mid=0.21, high=1.36, market=0.17, directLow=0.15), holofoil=None, reverseHolofoil=TCGPrice(low=0.14, mid=0.48, high=2.0, market=0.51, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,5ban Graphics,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-71', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.25, lowPrice=0.02, trendPrice=0.22, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.89, reverseHoloLow=0.28, reverseHoloTrend=1.03, lowPriceExPlus=0.02, avg1=0.25, avg7=0.22, avg30=0.22, reverseHoloAvg1=1.5, reverseHoloAvg7=1.06, reverseHoloAvg30=0.84))",,,,,g1-71,"CardImage(small='https://images.pokemontcg.io/g1/71.png', large='https://images.pokemontcg.io/g1/71_hires.png')","Legality(unlimited='Legal', expanded='Banned', standard=None)",,Red Card,,71,Uncommon,,,"['Your opponent shuffles his or her hand into his or her deck and draws 4 cards.', 'You may play as many Item cards as you like during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Item'],Trainer,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-71', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.18, mid=0.35, high=1.94, market=0.33, directLow=0.25), holofoil=None, reverseHolofoil=TCGPrice(low=0.25, mid=0.5, high=2.99, market=0.56, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",,
,Naoki Saito,,,"Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-73a', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=16.23, lowPrice=9.0, trendPrice=18.57, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=6.13, lowPriceExPlus=16.9, avg1=19.95, avg7=15.92, avg30=14.54, reverseHoloAvg1=7.0, reverseHoloAvg7=5.71, reverseHoloAvg30=4.91))",,,,,g1-73a,"CardImage(small='https://images.pokemontcg.io/g1/73a.png', large='https://images.pokemontcg.io/g1/73a_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Team Flare Grunt,,73a,Rare Ultra,,,"[""Discard an Energy attached to your opponent's Active Pokémon."", 'You may play only 1 Supporter card during your turn (before your attack).']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Supporter'],Trainer,,,
